trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.9823666583868,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.03516900102372,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.0350382136656,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.72003864086851,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.02481660028319,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,2,-112.08257449769657,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.69288595367243,"{0: 15, 1: 7, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-233.4119996730542,"{0: 11, 1: 2, 2: 8, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.09787655480926,"{0: 8, 1: 4, 2: 11, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.65915975273109,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-226.61557772025373,"{0: 16, 1: 5, 2: 4, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-237.06185499631138,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.63116814017258,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,4,-151.81122318482107,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,5,-83.05616295975813,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.50950351690969,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-259.91975383757557,"{0: 12, 1: 4, 2: 9, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.7568007273474,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.13070558844306,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.2509453733393,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-11.060331722027934,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-219.81186490222757,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.46290565926003,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.02385369257564,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-246.58936305721878,"{0: 17, 1: 2, 2: 4, 3: 3, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.46713493573695,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,10,-115.46541299851857,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.66311958427318,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,9,-39.49394223435863,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,3,-116.82403337741118,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 2}",1
